Name,Odds,Salary,PPG
Jason Day,7,12100,84.2
Rory McIlroy,7,12000,88.5
Jordan Spieth,8,11900,83.846
Dustin Johnson,14,11000,91.417
Rickie Fowler,25,10700,73.429
Justin Rose,25,10500,73.15
Adam Scott,28,10100,89.409
Hideki Matsuyama,33,9800,70.423
Danny Willett,40,9600,82.455
Bubba Watson,40,9500,80.25
Phil Mickelson,25,9300,73.231
Henrik Stenson,33,9100,79.692
Sergio Garcia,40,8900,75.545
Branden Grace,50,8700,77.143
Matt Kuchar,40,8500,76.833
Patrick Reed,50,8400,73.906
Louis Oosthuizen,66,8200,59.607
Brooks Koepka,50,8100,68.462
Brandt Snedeker,70,8000,57.618
Paul Casey,80,7900,61.667
Zach Johnson,80,7800,60.857
Jim Furyk,80,7700,32.7
Lee Westwood,80,7700,56
Russell Knox,100,7600,67.316
Martin Kaymer,70,7600,58.308
Charl Schwartzel,66,7500,79.885
Jimmy Walker,100,7400,66.429
J.B. Holmes,80,7400,73.364
Justin Thomas,80,7400,65.844
Marc Leishman,80,7300,69.781
Billy Horschel,80,7300,66.75
Matthew Fitzpatrick,66,7300,57.133
Kevin Kisner,80,7300,66
Jason Dufner,100,7200,68.861
Byeong-Hun An,100,7200,68.5
Daniel Berger,66,7200,67.5
Graeme McDowell,125,7100,53.3
Kevin Chappell,100,7100,65.676
Shane Lowry,125,7100,57.538
Smylie Kaufman,250,7000,65.028
Webb Simpson,125,7000,64
Ryan Moore,150,7000,60.958
David Lingmerth,150,6900,62.579
Emiliano Grillo,125,6900,63.75
Bryson DeChambeau,150,6900,53.955
Brendan Steele,150,6900,65.438
Bill Haas,125,6900,59.679
Kevin Streelman,225,6800,53.083
Luke Donald,125,6800,59.094
Keegan Bradley,125,6800,48.316
Danny Lee,125,6800,62.526
Charley Hoffman,125,6700,61.781
Harris English,150,6700,59.316
James Hahn,300,6700,53.588
Jamie Donaldson,125,6700,52.409
Bernd Wiesberger,200,6700,63.433
Kevin Na,150,6600,70.719
Patton Kizzire,250,6600,61.806
Jason Kokrak,275,6600,51.975
Chris Wood,150,6600,63.962
Chris Kirk,150,6600,51.765
Patrick Rodgers,200,6500,52.395
Scott Piercy,200,6500,65.75
Angel Cabrera,200,6500,41.156
Hideto Tanihara,500,6500,58.5
Kiradech Aphibarnrat,200,6500,54.107
Yuta Ikeda,500,6400,0
Andy Sullivan,250,6400,54.321
Spencer Levin,300,6400,56.295
Soren Kjeldsen,200,6400,58.679
Geoff Ogilvy,300,6400,37.75
Ernie Els,250,6400,47.605
David Toms,300,6300,55.107
Retief Goosen,200,6300,64
Romain Wattel,300,6300,53
Gregory Bourdy,500,6300,69.656
Robert Streb,350,6200,52.789
Gary Stal,1000,6200,44.792
Peter Hanson,250,6200,59.444
Lucas Glover,250,6200,56.711
Anirban Lahiri,250,6100,64
Cameron Smith,400,6100,46.441
Andrew Johnston,275,6100,61.538
Matteo Manassero,500,6100,39.115
Jon Rahm,200,6100,93.5
Soren Hansen,1000,6000,21.786
Lee Slattery,500,6000,53.5
Maximilian Kieffer,400,6000,57.727
Toru Taniguchi,750,6000,0
Tom Hoge,300,6000,54.444
Rob Oppenheim,1250,5900,50.846
Scottie Scheffler,600,5900,0
Steven Bowditch,500,5900,39.15
Jim Herman,600,5900,53.525
Nick Hardy,500,5900,0
Jason Allred,1500,5900,0
Andres Gonzales,750,5900,38.825
Carlos Ortiz,600,5900,39.714
Matt Marshall,2000,5900,0
Gregor Main,1000,5900,0
Derek Bard,1000,5800,15.5
Mikael Lundberg,1500,5800,44.917
Sebastian Soderberg,400,5800,41.5
Jeff Maggert,750,5800,27.5
Matthew Baldwin,1500,5800,24.056
Miguel Tabuena,750,5800,52.286
Kevin Tway,400,5800,0
Aaron Wise,500,5800,0
Derek Fathauer,600,5700,49.881
Sam Burns,1500,5700,0
Denny McCarthy,500,5700,23
Charlie Danielson,1500,5700,63.5
Frank Adams,2000,5700,0
Justin Hicks,500,5600,40.5
Dicky Pride,1500,5600,34.333
Ethan Tracy,1000,5600,24.5
Andrew Landry,600,5600,40.227
Derek Chang,1000,5500,0
Brandon Harkins,2500,5500,0
Austin Jordan,1250,5500,0
